District,State,Confirmed,Recovered,Deaths,Active,Delta_Confirmed,Delta_Recovered,Delta_Deaths,Last_Updated_Time
West District,Tamil Nadu,0,0,0,0,0,0,,
Ariyalur,Tamil Nadu,1,0,0,1,0,0,,
Chennai,Tamil Nadu,175,0,4,171,0,0,,
Coimbatore,Tamil Nadu,90,5,0,85,0,0,,
Cuddalore,Tamil Nadu,14,0,0,14,0,0,,
Dharmapuri,Tamil Nadu,0,0,0,0,0,0,,
Dindigul,Tamil Nadu,54,0,0,54,0,0,,
Erode,Tamil Nadu,55,0,0,55,0,0,,
Kancheepuram,Tamil Nadu,7,0,0,7,0,0,,
Kanniyakumari,Tamil Nadu,15,0,0,15,0,0,,
Karur,Tamil Nadu,22,0,0,22,0,0,,
Krishnagiri,Tamil Nadu,0,0,0,0,0,0,,
Madurai,Tamil Nadu,25,0,0,25,0,0,,
Nagapattinam,Tamil Nadu,12,0,0,12,0,0,,
Namakkal,Tamil Nadu,41,0,0,41,0,0,,
Perambalur,Tamil Nadu,1,0,0,1,0,0,,
Pudukkottai,Tamil Nadu,0,0,0,0,0,0,,
Ramanathapuram,Tamil Nadu,2,0,0,2,0,0,,
Salem,Tamil Nadu,14,0,0,14,0,0,,
Sivaganga,Tamil Nadu,6,0,0,6,0,0,,
Thanjavur,Tamil Nadu,11,0,0,11,0,0,,
The Nilgiris,Tamil Nadu,7,0,0,7,0,0,,
Theni,Tamil Nadu,41,0,1,40,0,0,,
Thiruvallur,Tamil Nadu,13,0,0,13,0,0,,
Thiruvarur,Tamil Nadu,13,0,0,13,0,0,,
Thoothukkudi,Tamil Nadu,24,0,1,23,0,0,,
Tiruchirappalli,Tamil Nadu,37,0,0,37,0,0,,
Tirunelveli,Tamil Nadu,58,0,0,58,0,0,,
Tiruppur,Tamil Nadu,26,0,0,26,0,0,,
Tiruvannamalai,Tamil Nadu,6,0,0,6,0,0,,
Vellore,Tamil Nadu,12,0,1,11,0,0,,
Viluppuram,Tamil Nadu,27,0,1,26,0,0,,
Virudhunagar,Tamil Nadu,11,0,0,11,0,0,,
Adilabad,Tamil Nadu,2,0,0,2,0,0,,
Bhadradri Kothagudem,Tamil Nadu,3,0,0,3,0,0,,
Hyderabad,Tamil Nadu,104,0,4,100,0,0,,
Jagitial,Tamil Nadu,1,0,0,1,0,0,,
Jangoan,Tamil Nadu,0,0,0,0,0,0,,
Jayashankar,Tamil Nadu,0,0,0,0,0,0,,
Jogulamba Gadwal,Tamil Nadu,17,0,0,17,0,0,,
Kamareddy,Tamil Nadu,0,0,0,0,0,0,,
