State,District,Confirmed,Recovered,Deaths,Active
Tamil Nadu,Ariyalur,3,3,0,0
Tamil Nadu,Chennai,308,301,0,7
Tamil Nadu,Coimbatore,133,128,5,0
Tamil Nadu,Cuddalore,26,26,0,0
Tamil Nadu,Dharmapuri,0,0,0,0
Tamil Nadu,Dindigul,76,76,0,0
Tamil Nadu,Erode,70,69,0,1
Tamil Nadu,Kancheepuram,8,8,0,0
Tamil Nadu,Kanniyakumari,16,16,0,0
Tamil Nadu,Karur,41,41,0,0
Tamil Nadu,Krishnagiri,0,0,0,0
Tamil Nadu,Madurai,46,46,0,0
Tamil Nadu,Nagapattinam,44,44,0,0
Tamil Nadu,Namakkal,50,50,0,0
Tamil Nadu,Perambalur,5,5,0,0
Tamil Nadu,Pudukkottai,1,1,0,0
Tamil Nadu,Ramanathapuram,11,11,0,0
Tamil Nadu,Salem,24,24,0,0
Tamil Nadu,Sivaganga,12,12,0,0
Tamil Nadu,Thanjavur,45,45,0,0
Tamil Nadu,The Nilgiris,9,9,0,0
Tamil Nadu,Theni,44,43,0,1
Tamil Nadu,Thiruvallur,49,49,0,0
Tamil Nadu,Thiruvarur,28,28,0,0
Tamil Nadu,Thoothukkudi,27,26,0,1
Tamil Nadu,Tiruchirappalli,50,50,0,0
Tamil Nadu,Tirunelveli,64,64,0,0
Tamil Nadu,Tiruppur,109,109,0,0
Tamil Nadu,Tiruvannamalai,8,8,0,0
Tamil Nadu,Vellore,23,22,0,1
Tamil Nadu,Viluppuram,40,39,0,1
Tamil Nadu,Virudhunagar,19,19,0,0
Tamil Nadu,Tenkasi,23,23,0,0
Tamil Nadu,Chengalpattu,50,50,0,0
Tamil Nadu,Ranipet,38,38,0,0
Tamil Nadu,Kallakurichi,3,3,0,0
Tamil Nadu,Tirupathur,17,17,0,0
